id,year,dest,origin,status
1,2012,BVH,ORH,Approved
2,2012,BVH,ELH,Approved
3,2012,BVH,CPH,Approved
4,2012,BVH,CVH,Approved
5,2012,BVH,CVH,Approved
6,2012,BVH,CPH,Approved
7,2012,BVH,SYH,Approved
8,2012,BVH,HTH,Approved
9,2012,BVH,CVH,Approved
10,2012,BVH,ELH,Approved
11,2012,BVH,ORH,Approved
12,2012,BVH,ORH,Approved
13,2012,BVH,MOH,Approved
14,2012,BVH,CPH,Approved
15,2012,BVH,CVH,Approved
16,2012,BVH,CVH,Approved
17,2012,BVH,ELH,Approved
18,2012,BVH,HTH,Approved
19,2012,BVH,CVH,Approved
20,2012,BVH,CPH,Approved
21,2012,BVH,HTH,Approved
22,2012,BVH,CVH,Approved
23,2012,BVH,ORH,Approved
24,2012,BVH,HTH,Approved
25,2012,BVH,ORH,Approved
26,2012,BVH,ORH,Approved
27,2012,BVH,ORH,Approved
28,2012,BVH,CVH,Approved
29,2012,BVH,HTH,Approved
30,2012,BVH,CVH,Approved
31,2012,BVH,ORH,Approved
32,2012,BVH,CVH,Approved
33,2012,BVH,ORH,Approved
34,2012,BVH,CVH,Approved
35,2012,BVH,SUH,Approved
36,2012,BVH,ORH,Approved
37,2012,BVH,HTH,Approved
38,2012,BVH,SUH,Approved
39,2012,BVH,SUH,Approved
40,2012,BVH,HTH,Approved
41,2012,BVH,OLH,Approved
42,2012,BVH,ELH,Approved
43,2012,BVH,OLH,Approved
44,2012,BVH,CVH,Approved
45,2012,BVH,HTH,Approved
46,2012,BVH,ORH,Approved
47,2012,BVH,ORH,Approved
48,2012,BVH,OLH,Approved
49,2012,BVH,CPH,Approved
50,2012,BVH,CVH,Approved
51,2012,BVH,SYH,Approved
52,2012,BVH,CPH,Approved
53,2012,BVH,SYH,Approved
54,2012,BVH,HTH,Approved
55,2012,BVH,CPH,Approved
56,2012,BVH,MOH,Approved
57,2012,BVH,ELH,Approved
58,2012,BVH,CPH,Approved
59,2012,BVH,HTH,Approved
60,2012,BVH,ELH,Approved
61,2012,BVH,MVH,Approved
62,2012,BVH,HTH,Approved
63,2012,BVH,SYH,Approved
64,2012,BVH,SUH,Approved
65,2012,BVH,CVH,Approved
66,2012,BVH,HTH,Approved
67,2012,BVH,SOH,Approved
68,2012,BVH,SOH,Approved
69,2012,BVH,OLH,Approved
70,2012,BVH,ORH,Approved
71,2012,BVH,ELH,Approved
72,2012,BVH,ORH,Approved
73,2012,BVH,MOH,Approved
74,2012,BVH,ELH,Approved
75,2012,BVH,SYH,Approved
76,2012,BVH,CVH,Approved
77,2012,BVH,ORH,Approved
78,2012,BVH,ORH,Approved
79,2012,BVH,HTH,Approved
80,2012,BVH,SUH,Approved
81,2012,BVH,ELH,Approved
82,2012,BVH,OLH,Approved
83,2012,BVH,CPH,Approved
84,2012,BVH,SUH,Approved
85,2012,BVH,HTH,Approved
86,2012,BVH,ORH,Approved
87,2012,BVH,SUH,Approved
88,2012,BVH,ORH,Approved
89,2012,BVH,ORH,Approved
90,2012,BVH,HTH,Approved
91,2012,BVH,HTH,Approved
92,2012,BVH,MVH,Approved
93,2012,BVH,HTH,Approved
94,2012,BVH,CPH,Approved
95,2012,BVH,CPH,Approved
96,2012,BVH,GJH,Approved
97,2012,BVH,ORH,Approved
98,2012,BVH,MOH,Approved
99,2012,BVH,MOH,Approved
100,2012,BVH,OLH,Approved
101,2012,BVH,SYH,Approved
102,2012,BVH,MOH,Approved
103,2012,BVH,ORH,Approved
104,2012,BVH,SOH,Approved
105,2012,BVH,SOH,Approved
106,2012,BVH,SOH,Approved
107,2012,BVH,SYH,Approved
108,2012,BVH,ELH,Approved
109,2012,BVH,HTH,Approved
110,2012,BVH,CVH,Approved
111,2012,BVH,ORH,Approved
112,2012,BVH,CVH,Approved
113,2012,BVH,CVH,Approved
114,2012,BVH,CPH,Approved
115,2012,BVH,ORH,Approved
116,2012,BVH,HTH,Approved
117,2012,BVH,ORH,Approved
118,2012,BVH,ELH,Approved
119,2012,BVH,HTH,Approved
120,2012,BVH,CVH,Approved
121,2012,BVH,ORH,Approved
122,2012,BVH,HTH,Approved
123,2012,BVH,ELH,Approved
124,2012,BVH,ORH,Approved
125,2012,BVH,HTH,Approved
126,2012,BVH,SUH,Approved
127,2012,BVH,MVH,Approved
128,2012,BVH,HTH,Approved
129,2012,BVH,OLH,Approved
130,2012,BVH,SOH,Approved
131,2012,BVH,GJH,Approved
132,2012,BVH,ORH,Approved
133,2012,BVH,SOH,Approved
134,2012,BVH,MOH,Approved
135,2012,BVH,ORH,Approved
136,2012,BVH,ORH,Approved
137,2012,BVH,MOH,Approved
138,2012,BVH,SYH,Approved
139,2012,BVH,HTH,Approved
140,2012,BVH,SOH,Approved
141,2012,BVH,GJH,Approved
142,2012,BVH,OLH,Approved
143,2012,BVH,ELH,Approved
144,2012,BVH,GJH,Approved
145,2012,BVH,SUH,Approved
146,2012,BVH,CPH,Approved
147,2012,BVH,ELH,Approved
148,2012,BVH,SOH,Approved
149,2012,BVH,ORH,Approved
150,2012,BVH,ORH,Approved
151,2012,BVH,ELH,Approved
152,2012,BVH,ELH,Approved
153,2012,BVH,ELH,Approved
154,2012,BVH,OLH,Approved
155,2012,BVH,CVH,Approved
156,2012,BVH,CPH,Approved
157,2012,BVH,ELH,Approved
158,2012,BVH,ORH,Approved
159,2012,BVH,SYH,Approved
160,2012,BVH,HTH,Approved
161,2012,BVH,OLH,Approved
162,2012,BVH,OLH,Approved
163,2012,BVH,ELH,Approved
164,2012,BVH,OLH,Approved
165,2012,BVH,CVH,Approved
166,2012,BVH,HTH,Approved
167,2012,BVH,ELH,Approved
168,2012,BVH,ELH,Approved
169,2012,BVH,CPH,Approved
170,2012,BVH,ORH,Approved
171,2012,BVH,SUH,Approved
172,2012,BVH,SOH,Approved
173,2012,BVH,SUH,Approved
174,2012,BVH,HTH,Approved
175,2012,BVH,CPH,Approved
176,2012,BVH,HTH,Approved
177,2012,BVH,MVH,Approved
178,2012,BVH,CVH,Approved
179,2012,BVH,ORH,Approved
180,2012,BVH,ORH,Approved
181,2012,BVH,SUH,Approved
182,2012,BVH,OLH,Approved
183,2012,BVH,CVH,Approved
184,2012,BVH,CPH,Approved
185,2012,BVH,ELH,Approved
186,2012,BVH,ORH,Approved
187,2012,BVH,SUH,Approved
188,2012,BVH,MVH,Approved
189,2012,BVH,ELH,Approved
190,2012,BVH,SUH,Approved
191,2012,BVH,CPH,Approved
192,2012,BVH,ELH,Approved
193,2012,BVH,ELH,Approved
194,2012,BVH,CPH,Approved
195,2012,BVH,HTH,Approved
196,2012,BVH,ORH,Approved
197,2012,BVH,CVH,Approved
198,2012,BVH,ORH,Approved
199,2012,BVH,ORH,Approved
200,2012,BVH,HTH,Approved
201,2012,BVH,SUH,Approved
202,2012,BVH,ORH,Approved
203,2012,BVH,CVH,Approved
204,2012,BVH,SYH,Approved
205,2012,BVH,HTH,Approved
206,2012,BVH,OLH,Approved
207,2012,BVH,ELH,Approved
208,2012,BVH,OLH,Approved
209,2012,BVH,SUH,Approved
210,2012,BVH,HTH,Approved
211,2012,BVH,ORH,Approved
212,2012,BVH,ELH,Approved
213,2012,BVH,OLH,Approved
214,2012,BVH,OLH,Approved
215,2012,BVH,SUH,Approved
216,2012,BVH,SUH,Approved
217,2012,BVH,HTH,Approved
218,2012,BVH,HTH,Approved
219,2012,BVH,HTH,Approved
220,2012,BVH,SUH,Approved
221,2012,BVH,CPH,Approved
222,2012,BVH,CPH,Approved
223,2012,BVH,CPH,Approved
224,2012,BVH,ORH,Approved
225,2012,BVH,ORH,Approved
226,2012,BVH,HTH,Approved
227,2012,BVH,HTH,Approved
228,2012,BVH,CVH,Approved
229,2012,BVH,CPH,Approved
230,2012,BVH,ELH,Approved
231,2012,BVH,OLH,Approved
232,2012,BVH,MVH,Approved
233,2012,BVH,ELH,Approved
234,2012,BVH,SUH,Approved
235,2012,BVH,MVH,Approved
236,2012,BVH,HTH,Approved
237,2012,BVH,HTH,Approved
238,2012,BVH,ELH,Approved
239,2012,BVH,HTH,Approved
240,2012,BVH,CPH,Approved
241,2012,BVH,CPH,Approved
242,2012,BVH,ELH,Approved
243,2012,BVH,ORH,Approved
244,2012,BVH,CVH,Approved
245,2012,BVH,ELH,Approved
246,2012,BVH,GJH,Approved
247,2012,BVH,GJH,Approved
248,2012,BVH,SOH,Approved
249,2012,BVH,SYH,Approved
250,2012,BVH,CVH,Approved
251,2012,BVH,ORH,Approved
252,2012,BVH,CVH,Approved
253,2012,BVH,HTH,Approved
254,2012,BVH,CPH,Approved
255,2012,BVH,ELH,Approved
256,2012,BVH,HTH,Approved
257,2012,BVH,SOH,Approved
258,2012,BVH,ORH,Approved
259,2012,BVH,HTH,Approved
260,2012,BVH,CVH,Approved
261,2012,BVH,ORH,Approved
262,2012,BVH,ORH,Approved
263,2012,BVH,OLH,Approved
264,2012,BVH,OLH,Approved
265,2012,BVH,ELH,Approved
266,2012,BVH,HTH,Approved
267,2012,BVH,ORH,Approved
268,2012,BVH,MOH,Approved
269,2012,BVH,SYH,Approved
270,2012,BVH,SYH,Approved
271,2012,BVH,SOH,Approved
272,2012,BVH,MOH,Approved
273,2012,BVH,SYH,Approved
274,2012,BVH,MOH,Approved
275,2012,BVH,ELH,Approved
276,2012,BVH,HTH,Approved
277,2012,BVH,SUH,Approved
278,2012,BVH,ELH,Approved
279,2012,BVH,SUH,Approved
280,2012,BVH,ELH,Denied
281,2012,BVH,CPH,Approved
282,2012,BVH,ORH,Approved
283,2012,BVH,SOH,Approved
284,2012,BVH,SUH,Approved
285,2012,BVH,OLH,Approved
286,2012,BVH,SUH,Approved
287,2012,BVH,ORH,Approved
288,2012,BVH,SOH,Approved
289,2012,BVH,ORH,Approved
290,2012,BVH,HTH,Approved
291,2012,BVH,ORH,Approved
292,2012,BVH,OLH,Approved
293,2012,BVH,OLH,Approved
294,2012,BVH,OLH,Approved
